Four Seasons Hotel Cairo at Nile Plaza,30.036237,31.229551
Hurghada Marriott Beach Resort,27.1971563,33.8443649
"Marriott Mena House, Cairo",29.985364,31.133072
Four Seasons Resort Sharm El Sheikh,27.956278,34.392363
"Four Seasons Hotel Alexandria at San Stefano, Egypt",31.2455625,29.9667613
Oberoi Sahl Hasheesh,27.0773,33.88306
Royal Maxim Palace Kempinski Cairo,30.0604551,31.4187594
Rixos Sharm El Sheikh,28.030081,34.4361016
JW Marriott Hotel Cairo,30.0719258,31.434406
Le Méridien Pyramids Hotel & Spa,29.9891785,31.130273
"The Nile Ritz-Carlton, Cairo",30.0458889,31.23203509999999
Kempinski Hotel Soma Bay,26.8495579,33.9871465
Hyatt Regency Sharm El Sheikh Resort,27.915202,34.3492813
The Palace Port Ghalib,25.5354809,34.6396378
Hilton Luxor Resort & Spa,25.7304138,32.6566215
Hôtel Sofitel Winter Palace Luxor,25.6966811,32.6371333
Cairo Marriott Hotel & Omar Khayyam Casino,30.057111,31.2250811
SENTIDO Mamlouk Palace,27.0998443,33.8280666
Dusit Thani Lakeview Cairo,30.025552,31.45528119999999
Steigenberger ALDAU Beach Hotel,27.164051,33.824522
Hotel Sofitel Legend Old Cataract Aswan,24.08228,32.887721
The Westin Soma Bay Golf Resort & Spa,26.8481885,33.9899907
Renaissance Sharm El Sheikh Golden View Beach Resort,27.8513995,34.3141356
"Radisson Blu Hotel, Cairo Heliopolis",30.1065093,31.3753121
Four Seasons Hotel Cairo at The First Residence,30.0239956,31.2176393
Steigenberger Coraya Beach,25.6043863,34.6036005
Sheraton Cairo Hotel & Casino,30.0391947,31.2203162
Mövenpick Resort Sharm el Sheikh,27.9136756,34.3396503
Mövenpick Resort Taba,29.491398,34.894406
Kempinski Nile Hotel Garden City Cairo,30.0386546,31.2304663
Hotel Novotel Marsa Alam,25.9533217,34.3788637
Mövenpick Resort Soma Bay,26.8273787,33.9380878
Mövenpick Resort & Spa El Gouna,27.3945633,33.6857764
Concorde El Salam Hotel •.SSH,27.9643186,34.3987731
Hilton Alexandria Corniche,31.261531,29.9838153
SUNRISE Arabian Beach Resort -Grand Select-,27.942571,34.38341800000001
Heliopolis Towers Hotel,30.1074775,31.3661771
Le Méridien Heliopolis,30.0912545,31.3364682
Serenity Makadi Beach,26.9715249,33.9180334
Hotel Sofitel Cairo Nile El Gezirah,30.0387603,31.2245635
"Radisson Blu Hotel, Alexandria",31.0557568,29.7197476
Rixos Alamein,31.03481,28.591606
Mercure Cairo Le Sphinx Hotel,29.990465,31.128255
Hilton Alexandria King's Ranch,30.9822128,29.6928407
SUNRISE Royal Makadi Aqua Resort,26.9968964,33.8976653
Sonesta Hotel Tower & Casino Cairo,30.0789576,31.3175089
Hilton Hurghada Resort,27.1588071,33.8257795
Hilton Sharm Waterfalls Resort,27.8557332,34.3140821
Desert Rose Resort,27.0950861,33.8342041
Sultan Gardens Resort Sharm El Sheikh,27.944697,34.380454
Ramses Hilton,30.0502908,31.2321118
Cleopatra Luxury Resort Makadi Bay,26.9848474,33.9020508
SENTIDO Reef Oasis Senses Resort,27.8550195,34.3096535
Steigenberger Alcazar,28.061527,34.435213
Beach Albatros Resort,27.1203748,33.8249034
Rixos Premium Seagate,28.0380183,34.4313103
Le Méridien Cairo Airport,30.1140895,31.3953136
Hilton Pyramids Golf,29.963821,31.0452156
Renaissance Cairo Mirage City Hotel,30.0746207,31.4395183
Grand Nile Tower Hotel,30.0346634,31.2273425
